No.	Nama	Jenis Cuisine	Alamat	Rating	Jumlah Ulasan	Sumber Rating	Area
1	Osteria GIA	Italian	Pacific Place Mall, Ground Level Unit G-05D, SCBD Lot. 3, Jl. Jend. Sudirman kav 52-53 South No.5, RT.5/RW.3, Senayan, Kec. Kby. Baru, Jakarta, Daerah Khusus Ibukota Jakarta 12190, Indonesia	4,9	4877	Google	Plaza Indonesia, Jakarta Pusat
2	Bistecca	Italian / Steakhouse	18 Parc Place SCBD Tower C Ground Floor, Jl. Tulodong Atas No.52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia	4,6	1792	Google	SCBD, Jakarta Selatan
3	Bottega Ristorante	Italian / European	Gedung Fairgrounds No.Kav 52-53, Jl. Tulodong Atas 2 No.14, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia	4,5	1502	Google	SCBD, Jakarta Selatan
4	The Garden Osteria	Italian	1, Jl. Suryo No.38, RT.10/RW.3, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180, Indonesia	4,7	3058	Google	Jakarta Selatan
5	ORO Italian Restaurant	Italian	Jl. Kemang Raya No.2h, RT.14/RW.1, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia	4,8	1467	Google	Kemang, Jakarta Selatan
6	Emilia Cucina Italiana	Italian	Jl. Biduri Bulan Blok I No.03, RT.6/RW.1, Grogol Utara, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210, Indonesia	4,8	4776	Google	Beberapa lokasi
7	Caffe Milano	Italian	Central Dept. Store, Grand Indonesia East Mall, Jl. M.H. Thamrin No.1 Ground Floor, RT.1/RW.5, Menteng, Central Jakarta City, Jakarta 10310, Indonesia	4,7	3046	Google	Grand Indonesia, Jakarta Pusat
8	Toscana	Italian	Jl. Kemang Raya No.120, RT.3/RW.2, Perapatan, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia	4,5	1476	Google	Kemang, Jakarta Selatan
9	Mamma Rosy	Italian	Jl. Kemang Raya No.58, RT.8/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia	4,5	3749	Google	Kemang, Jakarta Selatan
10	Rosso	Italian	Shangri-La Jakarta, Kota BNI, Jl. Jenderal Sudirman No.Kav. 1, RT.10/RW.9, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220, Indonesia	4,6	160	Google	Shangri-La Hotel, Jakarta Pusat
11	Casa Cuomo Ristorante	Italian	Jl. Gunawarman No.57, RT.4/RW.7, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180, Indonesia	4,5	806	Google	Gunawarman, Jakarta Selatan
12	Expatriate Italian Restaurant	Italian	Jl. Boulevard Raya QF 3 No.11a 3, RT.13/RW.18, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia	4,5	1504	Google	Kelapa Gading, Jakarta Utara
13	AMUZ Gourmet Restaurant	French Fine Dining	The Energy Building (2nd Floor,Lot 11A,SCBD, Jl. Jenderal Sudirman No.Kav. 52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia	4,6	482	Google	SCBD, Jakarta Selatan
14	Le Quartier	French Brasserie	Jl. Gunawarman No.34, RT.5/RW.2, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110, Indonesia	4,6	3188	Google	Kebayoran Baru, Jakarta Selatan
15	PIERRE	French Bistro	Jl. Senopati No.39, RT.6/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia	4,7	1267	Google	Senopati, Jakarta Selatan
16	VK SCBD	Modern French	Discovery SCBD, Jl. Jend. Sudirman kav 52-53 No.Lot 11, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia	4,6	1809	Google	SCBD, Jakarta Selatan
17	Bistro Baron	French Bistro	Jl. M.H. Thamrin No.28-30 Level 1, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia	4,4	483	Google	Plaza Indonesia, Jakarta Pusat
18	Alice by Tom Aikens	French Bistro	District 8, SCBD, Lot 28, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia	4,8	968	Google	SCBD, Jakarta Selatan
19	Orient8	French-Asian Fusion	Jl. Asia Afrika, RT.1/RW.3, Senayan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270, Indonesia	4,8	617	Google	Hotel Mulia Senayan, Jakarta Pusat
20	PAUL Classic	French Bakery / Cafe	GF, SEIBU Grand Indonesia, Jl. MH Thamrin No.1 1, RT.1/RW.5, Kb. Melati, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia	4,6	4051	Google	Pacific Place, Jakarta Selatan
21	Sophie Authentique	French Bistro / Bakery	Jl. Cipete Raya No.11, RT.6/RW.3, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410, Indonesia	4,5	706	Google	Cipete, Jakarta Selatan
22	Lyon	French / Steakhouse	Jl. M.H. Thamrin, Menteng, Kec. Menteng, Jakarta, Daerah Khusus Ibukota Jakarta 10310, Indonesia	4,6	-	Google	Menteng, Jakarta Pusat
