lokasi,alamat,kota,lat,lon,sumber,confidence,review_status,catatan
HALO NIKO RESTAURANT,"Jl. Pejaten Barat No.16A, RT.1/RW.10, Ragunan, Kec. Pasar Minggu, Kota Jakarta Selatan, DKI Jakarta 12540",Jakarta Selatan,-6.2887,106.8254,https://pergikuliner.com/restaurants/jakarta/haloniko-mini-pasar-minggu,medium,needs_review,"Alamat Jl. Pejaten Barat No.16A untuk cabang 'HaloNiko! Mini' Pasar Minggu dikonfirmasi oleh Tripadvisor, Wanderlog, dan Manual Jakarta. Sumber pergikuliner.com plausibel untuk ulasan restoran meskipun bukan sumber resmi. Namun HaloNiko! memiliki beberapa cabang (Mampang Prapatan, SCBD/Sudirman); perlu dipastikan cabang mana yang dimaksud konteks acara. Jika nama 'HALO NIKO RESTAURANT' merujuk cabang utama, ini adalah alamat yang paling tepat."
"PULAU SEPA, KEPULAUAN SERIBU","Pulau Sepa, Kepulauan Seribu Utara, Kabupaten Administrasi Kepulauan Seribu, DKI Jakarta",Kepulauan Seribu,-5.5800,106.6167,"https://www.sepaislandresort.com/home, https://pulausepa.com/",medium,needs_review,"Pulau Sepa dikonfirmasi berada di Kepulauan Seribu, DKI Jakarta (administratif benar). Tidak ada alamat jalan (wajar untuk pulau). Koordinat (-5.5800, 106.6167) berada di ujung utara rentang Kepulauan Seribu (5°23'–5°40' LS, 106°25'–106°44' BT) — plausibel tapi bersifat perkiraan karena koordinat spesifik pulau ini tidak terverifikasi dari sumber terbuka. Sumber sepaislandresort.com dan pulausepa.com tidak dapat di-fetch (HTTP 403) sehingga tidak bisa dikonfirmasi langsung."
KEDUTAAN BESAR PALESTINA,"Jl. Diponegoro No. 59, Menteng, Jakarta Pusat, DKI Jakarta 10310",Jakarta Pusat,-6.1967,106.8362,"https://www.visahq.id/palestine/embassy/indonesia/, https://aid-air.com/en/embassy-consulate/palestine/embassy-of-palestine-in-jakarta-indonesia/",medium,needs_review,"Alamat Jl. Diponegoro No. 59, Menteng, Jakarta Pusat 10310 dikonfirmasi oleh VisaHQ dan beberapa direktori kedutaan. Namun terdapat inkonsistensi di berbagai sumber: sebagian menyebut Jl. Ki Mangunsarkoro No. 64 (Menteng, juga Jakarta Pusat 10310) dan satu sumber menyebut Jl. Pangeran Diponegoro No. 49. Koordinat (-6.1967, 106.8362) masuk akal untuk kawasan Menteng. Lokasi bukan di Kuningan/Jaksel seperti yang disebutkan satu sumber — itu kemungkinan keliru. Perlu verifikasi langsung ke kedutaan untuk kepastian nomor jalan yang benar."
STADION SEPAK BOLA LAPANGAN BANTENG,"Jalan Lapangan Banteng Selatan, Pasar Baru, Kec. Sawah Besar, Kota Jakarta Pusat, DKI Jakarta 10710",Jakarta Pusat,-6.1688,106.8339,https://pusat.jakarta.go.id/kelurahan/kelurahan-pasar-baru/fasilitas/taman-hutan-kota/taman-lapangan-banteng; https://en.wikipedia.org/wiki/Lapangan_Banteng,medium,needs_review,"Tidak ada 'Stadion Sepak Bola' formal di Lapangan Banteng — yang ada hanyalah lapangan rumput terbuka di dalam Taman Lapangan Banteng yang digunakan untuk turnamen kecil (dikonfirmasi oleh Tabloid BOLA dan Wikipedia). Sumber pertama merujuk ke halaman taman, bukan stadion. Alamat hanya di level kawasan/taman, bukan level gedung stadion. Kecamatan Sawah Besar, Jakarta Pusat secara administratif benar."
"YAMAHA MUSIC CENTER BUILDING, SD NOTRE DAME & AULA MAFTUCHAH YUSUF UNJ, JAKARTA","Jl. Jend. Gatot Subroto Kav. 4, Karet Semanggi, Setiabudi, Jakarta Selatan 12930",Jakarta Selatan,-6.2093,106.8230,"https://ulasantempat.com/jakarta/yamaha-music-center-building-50695, https://id.yamaha.com/id/find/facilities/auditorium/",medium,needs_review,"The lokasi string names THREE distinct venues: (1) Yamaha Music Center Building — Jl. Gatot Subroto Kav. 4, Jakarta Selatan (confirmed by ulasantempat.com, streetdirectory.com, and Yamaha Indonesia official site); (2) SD Notre Dame — Jl. Puri Kembang Barat Raya Blok M, Kembangan Selatan, Jakarta Barat; (3) Aula Maftuchah Yusuf UNJ — Gedung Dewi Sartika Lt. 2, Kampus A UNJ, Jl. Rawamangun Muka No. 1, Jakarta Timur. The address returned covers only the first venue. A single address and coordinate pair cannot represent all three venues, which span three different kota. The Yamaha address itself is correct. Needs disambiguation into separate entries."
KSYE,,,,,,not_found,needs_review,"Tidak ditemukan venue bernama 'KSYE' di Jakarta dalam pencarian web. Kemungkinan typo dari 'SKYE' (rooftop bar di BCA Tower lt. 56, Jl. MH Thamrin No. 1, Jakarta Pusat) namun ini spekulatif. Tidak cukup bukti untuk menerima atau menolak dengan yakin — perlu konfirmasi dari sumber data asli event. Nilai dikosongkan karena tidak ada yang dapat dikonfirmasi."
AULA SIMFONIA JAKARTA,"Jl. Industri Raya Blok B Kav. 1 No. 14, Pademangan Timur, Kemayoran, Jakarta Pusat 10610",Jakarta Pusat,-6.1522,106.8463,https://aulasimfoniajakarta.com/en,medium,needs_review,"Alamat dikonfirmasi oleh banyak sumber (Wikipedia, idfirms.com, ulasantempat.com): Jl. Industri Raya Blok B No.14, Pademangan Timur. Namun ada ketidakkonsistenan administratif: kelurahan Pademangan Timur secara resmi masuk kecamatan Pademangan (Jakarta Utara), bukan Kemayoran (Jakarta Pusat). Venue sering disebut 'di Kemayoran, Jakarta Pusat' secara informal. Perlu verifikasi kota administratif yang tepat. Sumber asli (worldconcerthall.com) diganti ke situs resmi yang lebih kredibel."
BLOK M HUB,"Jl. Sultan Hasanuddin Dalam, Melawai, Kebayoran Baru, Jakarta Selatan 12160",Jakarta Selatan,,,"https://kumparan.com/jendela-dunia/blok-m-hub-jaksel-pusat-modernitas-yang-dekat-dengan-terminal-dan-stasiun-25E4DtHoRiy, https://www.traveloka.com/id-id/explore/destination/info-lengkap-seputar-blok-m-hub-alamat-jam-buka-fasilitas-dan-daftar-tenant-gt/611393",high,needs_review,"Alamat dan kota (Jakarta Selatan, Kebayoran Baru) dikonfirmasi oleh kumparan.com dan Waze. Sumber valid. Namun koordinat kosong — perlu dilengkapi (sekitar -6.2437, 106.7992 berdasarkan posisi Terminal Blok M). Status needs_review semata karena lat/lon hilang."
PUSAT GROSIR TANAH ABANG,"Jl. K.H. Fachrudin, Kampung Bali, Tanah Abang, Jakarta Pusat 10250",Jakarta Pusat,-6.2135,106.8110,"https://www.pasarjaya.co.id/pasar/upb-tanah-abang-blok-a, https://www.waze.com/live-map/directions/id/daerah-khusus-ibukota-jakarta/pusat-grosir-metro-tanah-abang?to=place.ChIJNVDDTSr3aS4RdLGGDxd75TM",medium,needs_review,"Kawasan Tanah Abang di Jakarta Pusat sudah benar secara administratif. Namun ada inkonsistensi: alamat yang diberikan (Jl. K.H. Fachrudin) merujuk ke Blok B, sedangkan sumber pertama (pasarjaya.co.id) adalah untuk Blok A yang beralamat di Jl. K.H. Mas Mansyur. 'Pusat Grosir Tanah Abang' sebagai nama generik mencakup beberapa gedung (Blok A, Blok B, Pusat Grosir Metro), sehingga tidak ada satu alamat tunggal yang representatif. Perlu klarifikasi gedung spesifik yang dimaksud."
"JL. SADAR RAYA RT 001 RW 005 KELURAHAN CIGANJUR, KECAMATAN JAGAKARSA, JAKARTA SELATAN","Jl. Sadar Raya RT.001/RW.005, Kelurahan Ciganjur, Kecamatan Jagakarsa, Kota Jakarta Selatan, DKI Jakarta 12630",Jakarta Selatan,-6.2818,106.7922,https://kodepos.id/jalan/jalan-sadar-jagakarsa-jakarta-selatan-dki-jakarta-12630.html,medium,needs_review,"Kodepos 12630 untuk Ciganjur, Jagakarsa, Jakarta Selatan terkonfirmasi. Alamat lengkap sesuai string asli. Koordinat hanya perkiraan kelurahan — RT/RW spesifik tidak dapat diverifikasi dari sumber terbuka. Sumber kedua asli (maps7.com) adalah situs tidak dikenal dan tidak dapat diandalkan; hanya kodepos.id yang dipertahankan."
