No.	Nama	Kategori TripAdvisor	Relevan Nightlife	Jenis Venue	Kota Administrasi	Kecamatan	Alamat (kurasi)	Alamat (TripAdvisor)	Koordinat	Flag Koordinat	Telepon	Rating	Jumlah Ulasan	Status	Catatan	URL TripAdvisor
1	Lucy in the Sky	Clubs & Bars	Ya	Rooftop bar	Jakarta Selatan	Kebayoran Baru	Gedung Fairgrounds, SCBD Lot 14, Jl. Jenderal Sudirman Kav. 52-53, Kebayoran Baru, Jakarta Selatan	Fairgrounds, Sudirman Central Business District Lot 14 Jenderal Sudirman Kav 52 – 53 Jakar	-6.226944,106.80806		+62215152309	3,2	68	Tutup permanen	Rooftop bar ikonik SCBD tutup permanen Jan 2026 setelah 14 tahun; grup Lucy masih ada venue terpisah di Senayan Park. Sumber: idntimes.com, lucy-group.com	https://www.tripadvisor.com/Attraction_Review-g294229-d2706539
2	MO Bar	Clubs & Bars	Ya	Bar & lounge	Jakarta Pusat	Menteng	Jl. M.H. Thamrin, Mandarin Oriental Jakarta, Jakarta Pusat 10310	Jl. M.H. Thamrin Mandarin Oriental Hotel, Jakarta, 10310	-6.195961,106.82364		+622129938827	4,6	29	Aktif	Bar hotel Mandarin Oriental dengan live entertainment, salah satu nightspot ternama Jakarta. Sumber: mandarinoriental.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d12082345
3	Top Gun	Clubs & Bars	Ya	Bar & lounge	Jakarta Selatan	Kebayoran Baru	Jl. Falatehan I No. 32, Blok M, Jakarta Selatan	Jl. Falatehan I no. 32 Blok M, Jakarta	-6.24182,106.80065		+62217395436	3,6	18	Tidak diketahui	"Live music/bar di Blok M dengan band tiap malam, disebut ""girly bar"" di ulasan; status terkini tak terverifikasi independen. Sumber: Tripadvisor, indoclubbing.com."	https://www.tripadvisor.com/Attraction_Review-g294229-d7256883
4	Ares Bar & Lounge	Clubs & Bars	Ya	Bar & lounge	Jakarta Utara	Penjaringan	Jl. Pluit Selatan I No. 1, Aston Pluit Hotel (Lt. Mezzanine), Pluit, Jakarta Utara 14450	Jl. Pluit Selatan I no. 1 Aston Pluit, Jakarta, 14450	-6.12564,106.78484			5,0	12	Aktif	Bar & lounge di hotel Aston Pluit, masih terdaftar aktif dengan menu terbaru di pergikuliner/gofood. Sumber: pergikuliner.com, gofood.co.id.	https://www.tripadvisor.com/Attraction_Review-g294229-d11910832
5	Pulque Agave Social House	Nightlife	Ya	Bar & lounge	?	?	?	Rukan Permata Senayan, Jl. Tentara Pelajar Blok D-9	-6.218483,106.79245		+62818-0240-6888	5	8	Tidak diketahui	"Nama & konsep (""agave"", ""social house"") menunjukkan bar tequila/mezcal khas; tidak ditemukan alamat/lokasi terverifikasi via pencarian web (Bing, Google, Instagram) di luar listing TripAdvisor."	https://www.tripadvisor.com/Attraction_Review-g294229-d34025484
6	Happy Puppy Karaoke	Karaoke Bars	Ya	Karaoke / KTV	Jakarta Pusat	Sawah Besar	Ruko Grand Kartini No. 16-17, Jl. Kartini Raya No. 17, Sawah Besar, Jakarta Pusat 10750	Jl. Kartini Raya No.57 Ruko Grand Kartini No.16-17, Jakarta	-6.15097,106.83453		+622162300660	2,0	7	Aktif	Karaoke keluarga cabang Kartini Raya, alamat TripAdvisor cocok dengan listing cabang Jakarta Pusat. Sumber: idalamat.com, Tripadvisor.	https://www.tripadvisor.com/Attraction_Review-g294229-d12640010
7	My Bar	Clubs & Bars	Ya	Bar & lounge	Jakarta Selatan	Kebayoran Baru	Jl. Falatehan I No. 16, Blok M Melawai, Jakarta Selatan 12160	16 Palatehan Street 1 Blok M Melawai, Jakarta, 12160	-6.24191,106.8011		+62217396510	2,6	5	Tidak diketahui	DJ dance/R&B bar di Blok M Melawai; status buka terkini tak terverifikasi independen. Sumber: Tripadvisor.	https://www.tripadvisor.com/Attraction_Review-g294229-d12216005
8	Blaze Scbd	Clubs & Bars	Ya	Live music venue	Jakarta Selatan	Kebayoran Baru	Elysee SCBD Lt. 3A Lot 21, Jl. SCBD Kav 52-53, 12190	Elysee Scbd Level 3a Lot 21, Jl. Scbd No.kav 52-53, Kota Jakarta Selatan	-6.21462,106.84513		+62822-1002-0088	4	3	Aktif	Live music lounge di kawasan SCBD, buka 7 hari 19.00-03.00, RSVP via Instagram @blaze.jakarta (sumber: pencarian web mengonfirmasi profil Instagram & alamat venue).	https://www.tripadvisor.com/Attraction_Review-g294229-d27954705
9	Colosseum Club	Dance Clubs & Discos	Ya	Klub malam / diskotek	Jakarta Barat	Taman Sari	Jl. Kunir No.7, RT.7/RW.7, Pinangsia, Taman Sari, Jakarta Barat 11110	Jl. Kunir No.7, Rw.7, Pinangsia, Kec. Taman Sari, Jakarta, 11110	-6.133289,106.81319		+62216909999	1,3	3	Aktif	Megaclub bertema Colosseum Roma, kapasitas >2000, buka tiap malam 21.30-04.00, pernah masuk DJ Mag Top 100 Clubs 2018, sumber: colosseum.id, djmag.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d25266195
10	Puspita Dangdut Cafe	Clubs & Bars	Ya	Live music venue	Jakarta Pusat	Menteng	Jl. Juana No. 30, Dukuh Atas, Menteng, Jakarta Pusat 10310	Jakarta				4,3	3	Tutup permanen	"Kafe dangdut historis Menteng; ulasan Tripadvisor eksplisit menyebut ""Now closed"". Sumber: Tripadvisor r562087226."	https://www.tripadvisor.com/Attraction_Review-g294229-d7312840
11	999 Triple Nine	Clubs & Bars	Ya	Klub malam / diskotek	Jakarta Selatan	Mampang Prapatan	Kemang Arcade Lt. 3, Jl. Kemang Raya No. 20A, Jakarta Selatan 12730	Jl. Kemang Raya no. 20A Kemang Arcade Building 3rd floor, Jakarta	-6.25953,106.81512		+62856-9574-664	3,5	2	Tutup permanen	"Klub EDM di Kemang Arcade tercatat ""Sekarang Ditutup"" di Foursquare; ada karaoke ""Triple Nine 999"" berbeda di Melawai (bukan entitas ini). Sumber: foursquare.com, dugemfordummies.wordpress.com."	https://www.tripadvisor.com/Attraction_Review-g294229-d10795022
12	Bar Fat & Sim	Clubs & Bars	Ya	Rooftop bar	Jakarta Selatan	Cilandak	Jl. TB Simatupang No.30, Cilandak Barat, Jakarta Selatan (RA Suites Simatupang lt.20)	Jalan TB Simatupang No. 30 RT.2/RW.9, Ra Suites Simatupang, Jakarta, 12430			+62817-6888-363	5	2	Aktif	Rooftop bar & grill lt.20 RA Suites Simatupang, buka Senin-Sabtu 17.00-24.00, sumber: nowjakarta.co.id, rasuitesimatupang.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d26258989
13	The Back Room	Clubs & Bars	Ya	Bar & lounge	Jakarta Pusat	Menteng (dari alamat/kodepos)	Jl. MH Thamrin No. 59, Pullman Jakarta Indonesia, Jakarta Pusat 10350	Jl. MH Thamrin no. 59 Pullman Jakarta Indonesia, Jakarta, 10350	-6.19916,106.8229		+622131921111	5,0	2	Aktif	Bar koktail & cerutu di Hotel Pullman Thamrin, live music tiap Selasa malam (sumber: pullmanjakartaindonesia.com).	https://www.tripadvisor.com/Attraction_Review-g294229-d15029010
14	Dragonfly Club	Dance Clubs & Discos	Ya	Klub malam / diskotek	Jakarta Selatan	Setiabudi	Ground Floor, Graha BIP, Jl. Jend. Gatot Subroto No.23, Jakarta 12930	Ground, Graha Bip, Jl. Gatot Subroto No.kav. 23, Jakarta, 12930	-6.229424,106.820465		+62215206789	3	1	Aktif	Klub legendaris sejak 2004, masuk DJ Mag Top 100 Clubs 2016-2017; kecamatan disimpulkan dari kode pos 12930 (area Karet Semanggi/Setiabudi), sumber: ismaya.com, TripAdvisor.	https://www.tripadvisor.com/Attraction_Review-g294229-d25267761
15	Fyne Jakarta	Clubs & Bars	Ya	Bar & lounge	?	?	?	Jl. Wijaya I No.49, RT.10/RW.5, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan	-6.24466,106.81054		+62813-2261-679	3	1	Tidak diketahui	"Dikategorikan ""Clubs & Bars"" di TripAdvisor; tidak ditemukan informasi tambahan (situs, Instagram, media) untuk memverifikasi alamat atau status operasional."	https://www.tripadvisor.com/Attraction_Review-g294229-d34463353
16	Letterpress Bar	Clubs & Bars	Ya	Bar & lounge	Jakarta Utara	Penjaringan	Swissotel Jakarta PIK Avenue lt.7, Jl. Pantai Indah Utara I, Pantai Indah Kapuk, Penjaringan, Jakarta Utara	Pantai Indah Kapuk Boulevard PIK Avenue, Kamal Muara, Jakarta, 14470			+622122571188	5	1	Aktif	Speakeasy bar bertema Shanghai di lantai 7 Swissotel PIK Avenue, buka 18.00-24.00 dengan live music mingguan (sumber: swissotel.com, manual.co.id, instagram.com/letterpress_bar).	https://www.tripadvisor.com/Attraction_Review-g294229-d26773340
17	Ra Suites Simatupang Bar	Clubs & Bars	Ya	Rooftop bar	Jakarta Selatan	Cilandak	Jl. TB Simatupang No.30, Cilandak, Jakarta Selatan	Jalan TB Simatupang No 3, Jakarta, 12430			+62817-6888-363	5	1	Aktif	"Rooftop bar ""Fat & Sim"" di hotel Ra Suites Simatupang; hotel aktif beroperasi (sumber: rasuitesimatupang.com, traveloka.com, hotels.com)."	https://www.tripadvisor.com/Attraction_Review-g294229-d26616033
18	Vault Jakarta	Dance Clubs & Discos	Ya	Klub malam / diskotek	Jakarta Selatan	Setiabudi	Multivision Tower Lt. 25, Jl. Kuningan Mulia Lot 9B, Karet Kuningan	Jl. Kuningan Mulia Lot 9B, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan	-6.212041,106.83391			4	1	Aktif	Klub malam dengan program musik harian (hip-hop/R&B, afrobeats, dll); alamat terverifikasi via profil Instagram resmi @vault.jakarta yang aktif dengan ~18K follower.	https://www.tripadvisor.com/Attraction_Review-g294229-d34295896
19	20/20 Cocktails and Agaves	Clubs & Bars	Ya	Bar & lounge	Jakarta Selatan	Kebayoran Baru	Jl. Gunawarman No.41, Kebayoran Baru, Jakarta Selatan	Jl. Gunawarman No. 41 Rawa Barat, Kebayoran Baru, Jakarta, 12180	-6.235851,106.80783		+62877-2347-0909			Aktif	Cocktail bar tequila/mezcal aktif, buka Selasa-Sabtu 16.00-02.00, sumber: bar2020jakarta.com, TripAdvisor.	https://www.tripadvisor.com/Attraction_Review-g294229-d23280548
20	Arzuca Night	Clubs & Bars	Ya	Bar & lounge	Jakarta Selatan	Setiabudi	CBD Mega Kuningan, Jl. Prof. Dr. Satrio Kav. E.1.3, Karet Kuningan, Setiabudi, Jakarta Selatan 12949	Jl Prof Dr Satrio Kav E 1.3 Kel Karet Kuningan One satrio unit E1 CBD Mega kuningan	-6.226398,106.82641		+62852-8205-2267			Aktif	"Nama resmi ""Arzuca Restaurant, Bar & Lounge"", buka 10.00-02.00 dengan area bar/lounge malam; fungsi utama restoran gastronomi tapi operasi bar malam nyata (sumber: arzuca.id, onesatrio.com, propertynbank.com)."	https://www.tripadvisor.com/Attraction_Review-g294229-d26706375
21	Batavia Beerhouse	Wine Bars	Ya	Bar & lounge	?	?	?	Jln. Rukan Beach View, Blk. A No.15, Jakarta, DKI Jakarta 11470	-6.270513,106.8502		+62899-6999-996			Tidak diketahui	"Nama & kategori TripAdvisor (""Wine Bars"") menunjukkan bar/beer house; akun Instagram @bataviabeerhouse ditemukan namun tanpa detail alamat, sehingga lokasi & status belum terverifikasi."	https://www.tripadvisor.com/Attraction_Review-g294229-d34278105
