No.	Nama Penyelenggara - Organizer	Nama Pertunjukan - Name of Performance	Tanggal Pertunjukan - Date of Performance	Tempat Pertunjukan - Place of Performance	Jenis Pertunjukan - Type of Performance	Jumlah Pengunjung - Number of Visitor	Keterangan - Notes	Sumber
1	Expoindo	Pasar Malam Empat Satoe Slank (HUT ke-41)	2025-01-04	JIExpo Kemayoran, Jakarta	Konser Musik Nasional (Rock/Pop)		Konser tunggal HUT ke-41 Slank	https://exhibition.jiexpo.com/slank-siap-rayakan-konser-empat-satoe-bersama-slankers/
2	Front Row Asia	Boney M. 50th Anniversary Tour Live in Jakarta	2025-01-10	Grand Ballroom Pullman Jakarta Central Park	Konser Musik Internasional (Disco/Pop)			https://www.tempo.co/teroka/boney-m-akan-gelar-konser-50-tahun-berkarya-di-jakarta-10-januari-2025-1167900
3	Live Nation, TEM Presents, PK Entertainment	Cigarettes After Sex - X's World Tour 2025 Live in Jakarta	2025-01-17	Beach City International Stadium (BCIS) Ancol	Konser Musik Internasional (Dream Pop/Indie)			https://www.pk-ent.com/concert/cigaretter-after-sex
4	Bank Mandiri	Konser Super Diva	2025-01-17	Indonesia Arena, GBK Senayan, Jakarta	Konser Musik Nasional (Pop)		Kolaborasi Krisdayanti, Ruth Sahanaya, Titi DJ, Lyodra, Tiara Andini, Ziva Magnolya	https://m.jpnn.com/news/bank-mandiri-hadirkan-konser-super-diva-di-indonesia-arena-gbk
5		INFINITE 15th Anniversary Concert: Limited Edition in Jakarta	2025-01-18	Tennis Indoor Senayan	Konser Musik Internasional (K-pop)	~5.000	kapasitas	https://www.socialexpat.net/list-of-k-pop-concerts-and-fan-meetings-in-indonesia-for-2025/
6		TAEYANG 2025 TOUR [THE LIGHT YEAR] in Jakarta	2025-01-25	Beach City International Stadium (BCIS) Ancol	Konser Musik Internasional (K-pop)			https://urbanvibes.id/index.php/2024/12/06/taeyang-konser-di-jakarta-bertemakan-the-light-year-pada-25-januari-2025/
7	PK Entertainment	Maroon 5 Asia 2025 - Jakarta	2025-02-01	Jakarta International Stadium (JIS)	Konser Musik Internasional (Pop/Rock)			https://www.tempo.co/teroka/maroon-5-konser-di-jakarta-1-februari-2025-ketiga-kali-berkunjung-ke-indonesia-1201096
8	Nonton Lagu by Kantara Creative	Konser Bingah Yura Yunita	2025-02-02	Istora Senayan, Jakarta	Konser Musik Nasional (Pop)	6.500	sold out; kapasitas	https://www.liputan6.com/showbiz/read/5903075/tiket-konser-yura-yunita-sold-out-6500-penonton-siap-padati-istora-senayan-jakarta
9		KYUHYUN COLORS Asia Tour in Jakarta	2025-02-08	The Kasablanka Hall	Konser Musik Internasional (K-pop)			https://www.suara.com/entertainment/2025/12/29/182500/tak-ada-bulan-sepi-ini-deretan-konser-k-pop-yang-siap-guncang-jakarta-sepanjang-2025
10		SEVENTEEN [RIGHT HERE] World Tour in Jakarta	2025-02-08	Jakarta International Stadium (JIS)	Konser Musik Internasional (K-pop)			https://www.kompas.com/hype/read/2025/02/08/122100566/rundown-konser-seventeen-right-here-in-jakarta-di-jis
11	Ravel Entertainment	The Corrs - From Jakarta with Love	2025-02-08	Beach City International Stadium (BCIS) Ancol	Konser Musik Internasional (Pop/Celtic Rock)	10.000+		https://kumparan.com/seputar-jakarta/rundown-konser-the-corrs-di-jakarta-2025-di-beach-city-international-stadium-24SDbhmySXn
12	Provaliant Group	The Jakarta 20th Toys & Comics Fair 2025	2025-02-08 s/d 2025-02-09	Kartika Expo Center, Balai Kartini, Jakarta Selatan	Pameran Mainan & Komik / Toys & Hobby Fair		Edisi ke-20; 200+ booth vendor	https://www.jakartatoysfair.id/
13	Pemkot Jakarta Barat / komunitas Pancoran Chinatown Glodok	Festival Cap Go Meh 2025 Glodok	2025-02-12	Pancoran Chinatown Point, Glodok, Jakarta Barat	Acara Budaya / Festival			https://barat.jakarta.go.id/berita/perayaan-cap-go-meh-2025-di-pancoran-chinatown-glodok-meriah
14	CK Star Entertainment	wave to earth 0.03 World Tour in Jakarta	2025-02-13	Istora Senayan	Konser Musik Internasional (K-pop)			https://www.kompas.com/hype/read/2025/02/13/185717066/wave-to-earth-gelar-konser-malam-ini-di-istora-senayan
15	Aloka	NIKI: Buzz World Tour Jakarta (Hari 1)	2025-02-14	Beach City International Stadium (BCIS) Ancol	Konser Musik Internasional (Pop)	~10.000	kapasitas	https://www.setlist.fm/setlist/niki/2025/beach-city-international-stadium-kota-administrasi-jakarta-utara-indonesia-7b5ee6dc.html
16	BPI (Yanti Airlangga), sutradara Hanung Bramantyo	Musikal Sinematik "City of Love"	2025-02-14	Plenary Hall, Jakarta Convention Center (JCC) Senayan	Teater / Drama Musikal			https://www.tvonenews.com/berita/300817-intip-pagelaran-musikal-sinematik-city-of-love-di-jcc
17		NCT 127 4th Tour 'NEO CITY – THE MOMENTUM' in Jakarta	2025-02-15	Indonesia Arena	Konser Musik Internasional (K-pop)	~16.500	kapasitas	https://www.socialexpat.net/list-of-k-pop-concerts-and-fan-meetings-in-indonesia-for-2025/
18	Ravel Entertainment	Green Day Live in Jakarta 2025	2025-02-15	Pantai Karnaval Ancol	Konser Musik Internasional (Punk Rock)	40.000	target promotor	https://www.jawapos.com/nasional/014981335/promotor-targetkan-40-ribu-penonton-pada-konser-green-day-di-pantai-carnaval-ancol
19	Mecima Pro / Color Asia Live	Hwang In Youp Fanmeeting Tour [IN LOVE] in Jakarta	2025-02-15	The Kasablanka Hall, Jakarta Selatan	Fan Meeting Hallyu (Aktor Korea)			https://www.tempo.co/hiburan/hwang-in-youp-buat-penggemar-jatuh-cinta-di-fan-meeting-jakarta-1207760
20	Aloka	NIKI: Buzz World Tour Jakarta (Hari 2)	2025-02-16	Beach City International Stadium (BCIS) Ancol	Konser Musik Internasional (Pop)	~10.000	kapasitas	https://www.setlist.fm/setlist/niki/2025/beach-city-international-stadium-jakarta-indonesia-735ee6d1.html
21	Live Nation, TEM Presents, PK Entertainment	Linkin Park - From Zero World Tour 2025 Live in Jakarta	2025-02-16	Stadion Madya Gelora Bung Karno (GBK)	Konser Musik Internasional (Rock/Nu-Metal)			https://www.tempo.co/teroka/linkin-park-akan-konser-di-stadion-madya-gbk-16-februari-2025-tiket-dijual-pekan-depan-1173455
22	Indonesian Fashion Chamber & Dyandra Promosindo	MUFFEST+ 2025 (Muslim Fashion Festival)	2025-02-20 s/d 2025-02-23	Hall A, Jakarta Convention Center (JCC) Senayan, Jakarta	Fashion / Peragaan Busana (Modest)		Edisi ke-10; ~130 brand & desainer	https://www.farah.id/read/2025/02/20/18211/muffest+-2025-resmi-dibuka
23	Alesana	Alesana - The Southeast Asia Tour 2025 Live in Jakarta	2025-02-21	Ballroom Kuningan City, Jakarta Selatan	Konser Musik Internasional (Post-Hardcore/Metalcore)			https://www.setlist.fm/setlist/alesana/2025/kuningan-city-ballroom-kota-administrasi-jakarta-selatan-indonesia-2b5dac62.html
24	Twilite Orchestra (Addie MS) x TipTip & East Ventures	Video Game Concert Volume II	2025-02-22	Tennis Indoor Senayan, Jakarta	Orkestra / Musik Klasik	3.000	perkiraan	https://www.detik.com/pop/music/d-7730678/addie-ms-twilite-orchestra-gelar-konser-video-game-concert-volume-ii
25	PK Entertainment / TEM Presents / Live Nation	keshi 'REQUIEM TOUR' in Jakarta 2025	2025-02-23	Istora Senayan	Konser Musik Internasional (Indie/Alternatif)		Opening act BOYLIFE	https://www.pk-ent.com/concert/keshi-requiem-world-tour
26		YOASOBI ASIA TOUR 2024-2025 in Jakarta	2025-02-26	Istora Senayan	Konser Musik Internasional (J-pop)			https://www.cnnindonesia.com/hiburan/20240827122803-227-1137983/yoasobi-akan-gelar-konser-2-hari-di-jakarta-pada-februari-2025
27	ArtSwara	Drama Musikal "MAR"	2025-02-26	Ciputra Artpreneur, Jakarta	Teater / Drama Musikal			https://www.ciputraartpreneur.com/events/detail/drama-musikal-mar
28	Jakarta Simfonia Orchestra (Dr. Stephen Tong)	Beethoven Symphony No. 4 & 6	2025-03-22	Aula Simfonia Jakarta, Kemayoran	Orkestra / Musik Klasik			https://aulasimfoniajakarta.com/id/events/beethoven-symphony-no-4-&-6
29		2025 JAY B CONCERT [TAPE:RE LOAD] in Asia - Jakarta	2025-04-05	The Kasablanka Hall	Konser Musik Internasional (K-pop)			https://www.socialexpat.net/list-of-k-pop-concerts-and-fan-meetings-in-indonesia-for-2025/
30	FriedRice Entertainment	2025 Yoo Yeon Seok Fanmeeting [The Secret Code: Y] in Jakarta	2025-04-05	JIExpo Theatre, Kemayoran, Jakarta Pusat	Fan Meeting Hallyu (Aktor Korea)		Stop terakhir tur Asia	https://yysjakarta.com/
31		TAEYEON CONCERT - The TENSE in Jakarta	2025-04-12	Indonesia Arena	Konser Musik Internasional (K-pop)	~16.500	kapasitas	https://www.socialexpat.net/list-of-k-pop-concerts-and-fan-meetings-in-indonesia-for-2025/
32		BOYNEXTDOOR [KNOCK ON] Vol.1 Tour in Jakarta	2025-04-12	Istora Senayan	Konser Musik Internasional (K-pop)			https://www.kompas.com/hype/read/2025/01/06/115818566/daftar-jadwal-konser-kpop-di-indonesia-sepanjang-2025
33	TMII (InJourney Destination Management)	Pesta Rakyat Nusantara 50 Tahun TMII — 500 anak menari Tarian Nusantara	2025-04-20	Plaza Keong Mas, Taman Mini Indonesia Indah (TMII), Jakarta Timur	Seni Tari	~50.000	perkiraan, 20 April 2025	https://injourneydestination.id/en/2025/04/20/kemeriahan-hut-ke-50-tmii-dengan-penampilan-500-anak-menarikan-tarian-nusantara/
34	Pemprov DKI Jakarta (Dinas Kebudayaan)	Lebaran Betawi 2025	2025-04-25 s/d 2025-04-26	Kawasan Monas, Jakarta Pusat	Seni Tradisional (Budaya Betawi)		Lenong, tanjidor, gambang kromong, palang pintu	https://www.tempo.co/hiburan/ragam-tradisi-dan-kesenian-di-lebaran-betawi-2025-1247731
35	Akselerasi Entertainment	M2M - The Better Endings Tour 2025 Live in Jakarta	2025-04-26	Ecovention Hall, Ancol, Jakarta Utara	Konser Musik Internasional (Pop)			https://www.setlist.fm/setlist/m2m/2025/hall-ecovention-kota-administrasi-jakarta-utara-indonesia-6b510e02.html
