No.	Nama	Kategori TripAdvisor	Relevan Suvenir	Produk Utama	Alamat	Kota Administrasi	Kecamatan	Koordinat	Sumber Koordinat	Telepon	Rating	Jumlah Ulasan	Status	Catatan	URL TripAdvisor
1	Flea Market at Jalan Surabaya	Pasar Loak & Pasar Jalanan	Ya	Barang antik & peta kuno	Surabaya St No.20-21 , Jakarta, 10310	Jakarta Pusat	Menteng	-6.197372,106.839195	TripAdvisor		3,8	410	Aktif	Pasar antik/suvenir legendaris sejak 1980 di Jl. Surabaya, Menteng; jual wayang, batik, perhiasan, barang antik. Sumber: Tripadvisor, forevervacation.com, ajourneybespoke.com	https://www.tripadvisor.com/Attraction_Review-g294229-d2587868
2	Batik Keris	Toko Suvenir & Spesialisasi	Ya	Batik	Jakarta	Jakarta Pusat	Menteng	-6.1931,106.8217	Koreksi riset		4,2	64	Aktif	Alamat sebenarnya Plaza Indonesia Lt.3 No.116C, Jl MH Thamrin, Gondangdia, Menteng, Jakarta Pusat (dari teks ulasan TripAdvisor); koordinat input meleset ~15km ke arah Cengkareng/perbatasan Tangerang, dikoreksi ke Plaza Indonesia. Sumber: tripadvisor.com, batikkeris.co.id.	https://www.tripadvisor.com/Attraction_Review-g294229-d379331
3	Pasar Seni Ancol	Toko Suvenir & Spesialisasi	Ya	Kerajinan tangan & lukisan (pasar seni)	Jl. Gerbang Ancol no. 93, Pademangan, Jakarta, 14430	Jakarta Utara	Pademangan	-6.126677,106.83876	TripAdvisor	+62 21 64713218	3,4	35	Aktif	Pasar seni/kerajinan sejak 1977 di kompleks Ancol, ~240 lapak seniman; kecamatan Pademangan dari sumber flokq/ancol.com, koordinat sesuai area Ancol	https://www.tripadvisor.com/Attraction_Review-g294229-d9563968
4	Rawa Bening Market	Toko Suvenir & Spesialisasi	Ya	Perhiasan/emas (batu akik, permata, kerajinan perak)	Jln. Stasiun, Jakarta, 12240	Jakarta Timur	Jatinegara	-6.2150,106.8703	Koreksi riset	+62 21 8197064	3,6	11	Aktif	Jakarta Gems Center, tepat di depan Stasiun Jatinegara, Kec. Jatinegara — populer di kalangan wisatawan asing utk batu akik/perhiasan sbg suvenir. Koordinat input meleset ~10km (mengarah ke area Kebayoran/Blok M), dikoreksi ke sekitar Stasiun Jatinegara. Sebagian toko tutup namun pasar tetap beroperasi. Sumber: beritajakarta.id, detik.com, traveloka.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d6598978
5	Bartele Gallery	Toko Barang Antik	Ya	Barang antik & peta kuno	Jl. M.H. Thamrin Mandarin Oriental Hotel - 2nd floor, Jakarta, 10310	Jakarta Pusat	Menteng	-6.19604,106.82356	TripAdvisor	+62 21 29938997	4,8	5	Aktif	Galeri peta & cetakan antik Asia sejak 2009, di Mandarin Oriental Hotel Jl MH Thamrin Menteng; sumber nowjakarta.co.id, bartelegallery.com. Ada info belum terverifikasi soal kemungkinan pindah ke Hotel Kempinski	https://www.tripadvisor.com/Attraction_Review-g294229-d12423972
6	Khas Jakarta	Toko Suvenir & Spesialisasi	Ya	Oleh-oleh makanan & suvenir Betawi	Jl. Thamrin Boulevard blok H5 no. 6 Thamrin City Lantai 1, Jakarta, 11110	Jakarta Pusat	Tanah Abang	-6.194593,106.81542	TripAdvisor	+62 856-8593-383	3,6	5	Aktif	Pusat oleh-oleh resmi (dodol Betawi, batik, ondel-ondel dll) di Thamrin City lt.1; kecamatan dari GoFood/near-place (Kb. Melati, Tanah Abang, kodepos 10230 - beda dgn kodepos 11110 di data asal, kemungkinan salah input); koordinat sesuai lokasi Thamrin City	https://www.tripadvisor.com/Attraction_Review-g294229-d7076588
7	Rajanya Promosi	Toko Suvenir & Spesialisasi	Ya	Suvenir custom/merchandise (tumbler, gift set, dll)	Jl. Hankam No. 13, RT.6/RW.9 Jl. Siyarridin I, Jakarta, 12550	Jakarta Selatan	Pasar Minggu	-6.286373,106.82381	TripAdvisor	+62 812-9907-6453	5,0	4	Aktif	Vendor merchandise/suvenir custom (tumbler, flashdisk, gift set) area Ragunan/Jl. Hankam, Pasar Minggu (sumber: rajanyapromosi.com, facebook.com/RajanyaSouvenir). Koordinat cukup plausibel untuk area Ragunan meski tidak presisi ke titik jalan.	https://www.tripadvisor.com/Attraction_Review-g294229-d28897061
8	Batik Obate	Toko Suvenir & Spesialisasi	Ya	Batik	Jl. Teuku Nyak Arief no. 10 Simprug Gallery Unit Blok S, Jakarta, 12220	Jakarta Selatan	Kebayoran Lama	-6.23496,106.78532	TripAdvisor	+62 811-9303-789	5,0	3	Aktif	Toko batik (Yogya/Solo/Pekalongan) di Ruko Simprug Gallery; sumber Tripadvisor & near-place.com, tercatat aktif.	https://www.tripadvisor.com/Attraction_Review-g294229-d12976615
9	Lucy's Batik - Jakarta	Toko Suvenir & Spesialisasi	Ya	Batik & kerajinan tangan	Jl. Kemang Raya No.30 Mitra Hadiprana 1st Floor, Jakarta, 12730	Jakarta Selatan	Mampang Prapatan	-6.260612,106.815186	TripAdvisor	+62 21 7182767	4,7	3	Aktif	Butik batik & kerajinan Nusantara di Mitra Hadiprana Kemang; sumber lucysbatik.com & mitrahadiprana.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d16162508
10	Paisley Things	Toko Suvenir & Spesialisasi	Ya	Kerajinan tangan artisan lokal (dekorasi rumah)	Jln. Bumi no. 31a, Jakarta, 12120	Jakarta Selatan	Kebayoran Baru	-6.24063,106.78974	TripAdvisor	+62 21 27510156	4,3	3	Aktif	Toko kerajinan artisan lokal yg mendukung Darius Tobing Foundation, est. 2011, alamat Jl. Bumi No.31A Kebayoran Baru (indonesiaexpat.id, ajourneybespoke.com); ada akun IG @paisleythingsjakarta aktif	https://www.tripadvisor.com/Attraction_Review-g294229-d10161748
