Framework	Dimensi/Fungsi	Bobot	Kode	Indikator	Ukuran/Definisi	Pemilik Data (OPD)	Data Dispar	Readiness	Catatan
GCI	Business Activity	30%	BA1	Kantor pusat Fortune Global 500	Jumlah HQ perusahaan global	Bappeda / DPMPTSP	Tidak	Lintas-OPD	
GCI	Business Activity	30%	BA2	Top global service firms	Kantor firma jasa global (hukum/akuntansi/konsultan)	Bappeda / DPMPTSP	Tidak	Lintas-OPD	
GCI	Business Activity	30%	BA3	Pasar modal	Nilai kapitalisasi pasar bursa	BEI / OJK (nasional)	Tidak	Lintas-OPD	
GCI	Business Activity	30%	BA4	Air freight	Volume kargo udara	Dishub / AP II	Tidak	Lintas-OPD	
GCI	Business Activity	30%	BA5	Sea freight	Volume peti kemas pelabuhan	Pelindo / Dishub	Tidak	Lintas-OPD	
GCI	Business Activity	30%	BA6	Konferensi internasional (ICCA/MICE)	Jumlah konferensi/pertemuan internasional	DISPAREKRAF	Sebagian	Partial	Punya data usaha MICE berizin; jumlah konferensi internasional aktual perlu ditambah
GCI	Business Activity	30%	BA7	Unicorn / startup	Jumlah unicorn & startup	Diskominfotik / Bappeda	Tidak	Lintas-OPD	
GCI	Human Capital	30%	HC1	Populasi kelahiran asing	Jumlah penduduk foreign-born	Disdukcapil	Tidak	Lintas-OPD	
GCI	Human Capital	30%	HC2	Universitas top	Jumlah universitas peringkat dunia	Kemendikbud (nasional)	Tidak	Lintas-OPD	
GCI	Human Capital	30%	HC3	Populasi pendidikan tinggi	% penduduk berpendidikan tersier	BPS / Disdik	Tidak	Lintas-OPD	
GCI	Human Capital	30%	HC4	Mahasiswa internasional	Jumlah mahasiswa asing	Universitas (nasional)	Tidak	Lintas-OPD	
GCI	Human Capital	30%	HC5	Sekolah internasional	Jumlah sekolah internasional	Disdik	Tidak	Lintas-OPD	
GCI	Human Capital	30%	HC6	Kemudahan masuk (visa)	Kebijakan visa/entry	Imigrasi (nasional)	Tidak	Lintas-OPD	
GCI	Information Exchange	15%	IE1	Biro berita internasional	Jumlah kantor media/berita asing	Diskominfotik	Tidak	Lintas-OPD	
GCI	Information Exchange	15%	IE2	Penetrasi broadband	Langganan internet/broadband	Diskominfotik	Tidak	Lintas-OPD	
GCI	Information Exchange	15%	IE3	Kecepatan internet	Rata-rata kecepatan internet	Diskominfotik	Tidak	Lintas-OPD	
