destinasi	pengelola	jenis_pengelola	telepon	email	situs	medsos	nama_pejabat_humas	jabatan	sumber_url
Kawasan Monas	Unit Pengelola Kawasan (UPK) Monas, di bawah Dinas Pariwisata dan Ekonomi Kreatif Provinsi DKI Jakarta	UPT/UP Pemprov DKI	(021) 3504333			@monumen.nasional (Instagram)	Muhammad Isa Sarnuri	Kepala Unit Pengelola Kawasan (UPK) Monas	https://www.jakartaterkini.id/jakarta/amp/2322117293/libur-tahun-baru-2026-kunjungan-ke-monas-tembus-72363-orang; https://www.metrotvnews.com/read/b1oCOzGO-kunjungan-monas-melonjak-tajam-tembus-72-ribu-orang-di-awal-2026
Planetarium Jakarta	PT Jakarta Propertindo (Jakpro), melalui SBU Taman Ismail Marzuki (dualisme pengelolaan dengan Dinas Kebudayaan DKI untuk fungsi edukasi publik)	BUMD	(021) 2305146		https://planetarium.jakarta.go.id/	@tim.cikini (Instagram Taman Ismail Marzuki); @planetariumjkt (Instagram/X/Facebook resmi Planetarium)	Iwan Takwin; Anya	Direktur Utama PT Jakpro; Kepala SBU Taman Ismail Marzuki	https://www.kompas.id/artikel/en-sihir-planetarium-dan-wajah-baru-tim-memikat-puluhan-ribu-pengunjung; https://mureks.co.id/iwan-takwin-wisata-edukasi-pikat-kuat-planetarium-jakarta-dongkrak-kunjungan-tim-67-ribu-orang; https://teropongnews.com/2024/10/planetarium-masih-tutup-dprd-dki-dualisme-pengelolaan-harus-diselesaikan/
Taman Lapangan Banteng	Dinas Pertamanan dan Hutan Kota (Distamhut) Provinsi DKI Jakarta	UPT/UP Pemprov DKI	5328454	distama@jakarta.go.id	https://distamhut.jakarta.go.id/	@tamanhutandki (Instagram/Facebook/X)	M. Fajar Sauri	Kepala Dinas Pertamanan dan Hutan Kota (Distamhut) DKI Jakarta	https://koran-jakarta.com/2025-08-02/pramono-akan-buka-flona-2025-pada-5-agustus; https://www.jakarta.go.id/page/taman-di-jakarta-buka-24-jam-jadi-ruang-interaksi-hingga-katalis-ekonomi
Pos Bloc	PT Pos Properti Indonesia (anak usaha PT Pos Indonesia) bersama operator kreatif PT Ruang Kreatif Pos	BUMN			https://www.posindonesia.co.id/	@posblocjkt (Instagram/Facebook)			https://www.posindonesia.co.id/en/articles/detail/peresmian-ruang-kreatif-publik-pos-bloc-jakarta; https://www.antaranews.com/berita/5580665/pos-properti-indonesia-percepat-ekspansi-lewat-tiga-inisiatif-bisnis
Museum Nasional	Museum dan Cagar Budaya (Indonesian Heritage Agency/IHA), BLU Kementerian Kebudayaan RI	Pemerintah pusat	+62 21 3868172	museumcb@kemenbud.go.id	https://www.museumnasional.or.id/ ; https://iha.kemenbud.go.id/	@museumnasionalindonesia (Instagram/Facebook/TikTok/Threads); @museumnasional (X)	Indira Esti Nurjadin	Kepala Museum dan Cagar Budaya (IHA)	https://www.medcom.id/gaya/wisata/akWmZMBN-museum-nasional-targetkan-780-ribu-pengunjung-pada-2026; https://megapolitan.antaranews.com/berita/484593/museum-nasional-ditargetkan-tarik-780-ribu-pengunjung-pada-2026
Museum Joang '45	Unit Pengelola Museum Kesejarahan Jakarta, Dinas Kebudayaan Provinsi DKI Jakarta	UPT/UP Pemprov DKI	(021) 2523164	dinaskebudayaandki@gmail.com	https://dinaskebudayaan.jakarta.go.id/		Retno Ayati	Kepala Unit Pengelola Museum Kesejarahan Jakarta	https://koran-jakarta.com/2026-06-30/kabar-bagus-mulai-banyak-warga-mengunjungi-museum
Museum Prasasti	Unit Pengelola Museum Kesejarahan Jakarta, Dinas Kebudayaan Provinsi DKI Jakarta	UPT/UP Pemprov DKI	(021) 2523164	dinaskebudayaandki@gmail.com	https://dinaskebudayaan.jakarta.go.id/		Retno Ayati	Kepala Unit Pengelola Museum Kesejarahan Jakarta	https://koran-jakarta.com/2026-06-30/kabar-bagus-mulai-banyak-warga-mengunjungi-museum
Museum M.H. Thamrin	Unit Pengelola Museum Kesejarahan Jakarta, Dinas Kebudayaan Provinsi DKI Jakarta	UPT/UP Pemprov DKI	(021) 2523164	dinaskebudayaandki@gmail.com	https://dinaskebudayaan.jakarta.go.id/museum/museum-mh-thamrin		Retno Ayati	Kepala Unit Pengelola Museum Kesejarahan Jakarta	https://koran-jakarta.com/2026-06-30/kabar-bagus-mulai-banyak-warga-mengunjungi-museum
Museum Kebangkitan Nasional	Indonesian Heritage Agency (Museum dan Cagar Budaya, BLU Kemendikbudristek/Kemenbud) - unit Museum Kebangkitan Nasional	Pemerintah pusat	(021) 3847975; (021) 3483033	muskitnas@kemdikbud.go.id	https://museumkebangkitannasional.com/	@muskitnasofficial (Instagram)			https://museumkebangkitannasional.com/kontak/; https://business-iha.kemenbud.go.id/unit/museum-kebangkitan-nasional/; https://business-iha.kemenbud.go.id/kontak/
Museum Sumpah Pemuda	Indonesian Heritage Agency (Museum dan Cagar Budaya, BLU Kemendikbudristek/Kemenbud) - unit Museum Sumpah Pemuda	Pemerintah pusat	(021) 3103217; (021) 3154546; WA layanan publik 0817-0281-928		https://muspada.kemenbud.go.id/	@museumsumpahpemuda (Instagram)			https://muspada.kemenbud.com/kontak/index.html; https://www.instagram.com/museumsumpahpemuda/
Museum Perumusan Naskah Proklamasi	Indonesian Heritage Agency (Museum dan Cagar Budaya, BLU Kemendikbudristek/Kemenbud) - unit Museum Perumusan Naskah Proklamasi	Pemerintah pusat	+62 812-9595-3929	museumcb@kemenbud.go.id	http://munasprok.go.id	@indonesianheritageagency (Instagram)			https://iha.kemenbud.go.id/portfolio/museum-perumusan-naskah-proklamasi/; https://business-iha.kemenbud.go.id/kontak/
TIJA Ancol (Taman Impian Jaya Ancol)	PT Pembangunan Jaya Ancol Tbk (PJAA) - perusahaan terbuka, pemegang saham mayoritas Pemprov DKI Jakarta (BUMD Tbk)	BUMN			https://www.ancol.com; https://korporat.ancol.com	@ancoltamanimpian (Instagram); @ancoltmnimpian (Twitter/X); TamanImpianAncol (Facebook)	Daniel Windriatmoko	Corporate Communication PT Pembangunan Jaya Ancol	https://www.antaranews.com/berita/5589383/manajemen-166955-orang-kunjungi-ancol-pada-momentum-libur-panjang
