No.	Wilayah	Destinasi	Wisnus Juli 2026	Wisman Juli 2026	Jumlah Juli 2026	Status Data	Temuan Publik Juli 2026	Juli 2025 (aktual SDI)	YoY Jan-Mei 26/25	PROYEKSI Wisnus Juli 2026	PROYEKSI Wisman Juli 2026
1	Jakarta Pusat	Kawasan Monumen Nasional				BELUM ADA — tunggu laporan pengelola		483014	1.474	711762	414
2	Jakarta Pusat	Planetarium				BELUM ADA — tunggu laporan pengelola		0			
3	Jakarta Pusat	Taman Lapangan Banteng				BELUM ADA — tunggu laporan pengelola	14.000 warga pada 19 Juli 2026 (acara nobar Final Piala Dunia, SATU HARI) — siaran pers Pemprov DKI jakarta.go.id, 19 Jul 2026	22439	0.809	18159	
4	Jakarta Pusat	Pos Bloc				BELUM ADA — tunggu laporan pengelola		71137	0.241	17124	
5	Jakarta Pusat	Museum Nasional				BELUM ADA — tunggu laporan pengelola		67125	0.635	42624	7482
6	Jakarta Pusat	Museum Joang '45				BELUM ADA — tunggu laporan pengelola		321	1.077	346	41
7	Jakarta Pusat	Museum Prasasti				BELUM ADA — tunggu laporan pengelola		317	0.84	266	15
8	Jakarta Pusat	Museum M.H Thamrin				BELUM ADA — tunggu laporan pengelola		65	0.468	30	2
9	Jakarta Pusat	Museum Kebangkitan Nasional				BELUM ADA — tunggu laporan pengelola		3421	0.869	2972	
10	Jakarta Pusat	Museum Sumpah Pemuda				BELUM ADA — tunggu laporan pengelola		338	1.032	349	37
11	Jakarta Pusat	Museum Perumusan Naskah Proklamasi				BELUM ADA — tunggu laporan pengelola		499	0.918	458	29
12	Jakarta Utara	TIJA Ancol				BELUM ADA — tunggu laporan pengelola	720.000 = TARGET (bukan realisasi) periode libur sekolah 20 Jun–12 Jul 2026 — Corcomm Ancol Daniel Widriatmoko via Kontan, 12 Jun 2026	793791	0.909	721219	
13	Jakarta Utara	Pel. Sunda Kelapa				BELUM ADA — tunggu laporan pengelola		0			
14	Jakarta Utara	Rumah Si Pitung (Situs Marunda)				BELUM ADA — tunggu laporan pengelola		902	0.912	823	
15	Jakarta Utara	Museum Bahari				BELUM ADA — tunggu laporan pengelola		3099	0.859	2662	360
16	Jakarta Utara	Pantai Indah Kapuk 1				BELUM ADA — tunggu laporan pengelola	27,8 juta = kumulatif TAHUN 2025 (bukan 2026) — Dirut Agung Sedayu Nono Sampono via inilah.com	tidak ada di SDI (pengelola swasta)			
17	Jakarta Barat	Kawasan Kota Tua				BELUM ADA — tunggu laporan pengelola	99.663 (97.700 wisnus + 1.963 wisman) periode 27 Jun–5 Jul 2026 (LINTAS BULAN, bukan Juli penuh); puncak harian 4 Jul = 14.773 — Kepala UPK Kota Tua Denny Aputra via AyoJakarta, 7 Jul 2026	231247	0.712	164696	5202
18	Jakarta Barat	Museum Sejarah Jakarta				BELUM ADA — tunggu laporan pengelola		37931	1.09	41331	3160
19	Jakarta Barat	M. Seni Rupa dan Keramik				BELUM ADA — tunggu laporan pengelola		13957	0.937	13073	680
20	Jakarta Barat	Museum Wayang				BELUM ADA — tunggu laporan pengelola		32710	0.793	25928	1214
21	Jakarta Barat	Jakarta Aquarium Safari				BELUM ADA — tunggu laporan pengelola		tidak ada di SDI (pengelola swasta)			
22	Jakarta Barat	Museum Tekstil				BELUM ADA — tunggu laporan pengelola		1645	1.279	2104	446
23	Jakarta Selatan	T. Marga Satwa Ragunan				BELUM ADA — tunggu laporan pengelola	12.767 pengunjung pada 10 Juli 2026 (SATU HARI, bukan bulanan) — Humas Ragunan Wahyudi Bambang via detikTravel, 11 Jul 2026	468655	0.909	426116	72
24	Jakarta Selatan	PBB Setu Babakan				BELUM ADA — tunggu laporan pengelola		22495	0.837	18833	33
25	Jakarta Selatan	RTH Tebet Eco Park				BELUM ADA — tunggu laporan pengelola		0	0.679		
26	Jakarta Selatan	Museum Satria Mandala				BELUM ADA — tunggu laporan pengelola		2180	1.175	2562	
27	Jakarta Selatan	Museum Basoeki Abdullah				BELUM ADA — tunggu laporan pengelola		324	0.774	251	7
28	Jakarta Timur	Taman Mini Indonesia Indah				BELUM ADA — tunggu laporan pengelola		260449	0.76	198025	
29	Jakarta Timur	Old Shanghai				BELUM ADA — tunggu laporan pengelola		0	0.986		
30	Kepulauan Seribu	Museum Arkeologi Onrust				BELUM ADA — tunggu laporan pengelola		2013	0.783	1575	
31	Kepulauan Seribu	Kepulauan Seribu				BELUM ADA — tunggu laporan pengelola		37744	0.831	31351	15216
