destinasi	periode_angka	wisnus	wisman	total	satuan_cakupan	sumber_nama	sumber_url	tanggal_terbit	catatan
TIJA Ancol (Taman Impian Jaya Ancol) — PJAA	Juli 2026	TIDAK DITEMUKAN				-	-	-	-	Tidak ditemukan angka realisasi kunjungan bulan Juli 2026 (harian/bulanan) dari IDX, siaran pers Ancol, maupun media bisnis (Kontan/Bisnis.com/IDX Channel/TradingView). Laporan keuangan semester I 2026 PJAA (indopremier, terbit 30 Jul 2026) hanya memuat data laba/pendapatan, tidak ada angka jumlah pengunjung.
TIJA Ancol (Taman Impian Jaya Ancol) — PJAA	20 Jun-12 Jul 2026 (libur sekolah)	720000			720000	periode parsial (TARGET, BUKAN REALISASI)	Kontan (industri.kontan.co.id), dikutip dari Daniel Widriatmoko (Corporate Communication PT Pembangunan Jaya Ancol Tbk)	https://industri.kontan.co.id/news/pembangunan-jaya-ancol-pjaa-bidik-720000-pengunjung-saat-libur-sekolah-2026	2026-06-12	720.000 adalah TARGET/bidikan manajemen untuk periode libur sekolah 20 Jun-12 Jul 2026, bukan angka realisasi/aktual. Tidak dipecah wisnus/wisman. Tidak ditemukan berita follow-up berisi angka realisasi setelah periode ini berakhir.
TIJA Ancol (Taman Impian Jaya Ancol) — PJAA	Kuartal I 2026	TIDAK DITEMUKAN (hanya persentase)				kumulatif	TradingView (mengutip Kontan)	https://id.tradingview.com/news/kontan:0aec5e4f387ea:0/	TIDAK DITEMUKAN (perkiraan sekitar akhir Apr/awal Mei 2026)	Disebutkan "pengunjung Ancol turun 14% di kuartal I-2026" dibanding periode sama tahun lalu, tapi angka absolut pengunjung tidak disebutkan di sumber ini — hanya persentase penurunan. Tidak relevan langsung untuk Juli tapi disertakan sebagai konteks tren.
Pantai Indah Kapuk 1 (PIK / Pantjoran PIK, Jakarta Utara)	Juli 2026	TIDAK DITEMUKAN				-	-	-	-	Tidak ditemukan angka pengunjung PIK/Pantjoran PIK untuk Juli 2026 dari pengelola (Agung Sedayu Group/PIK Tourism Board), media bisnis, maupun siaran pers. Yang ditemukan hanya program event "PIKcation: School Holiday 2026" (19 Jun-12 Jul 2026) tanpa data kunjungan.
Pantai Indah Kapuk 1 (PIK / Pantjoran PIK, Jakarta Utara)	Tahun 2025 (kumulatif, BUKAN 2026)	27800000			27800000	kumulatif (tahun 2025, BUKAN Juli 2026)	inilah.com, dikutip dari Nono Sampono, Direktur Utama Agung Sedayu Group (ASG)	https://www.inilah.com/raih-278-juta-pengunjung-pengelola-pik-2-janji-perbanyak-event-dan-rangkul-umkm	TIDAK DITEMUKAN (artikel tidak bertanggal jelas dari hasil pencarian, konteks awal 2026)	PENTING: angka 27,8 juta ini adalah TOTAL kunjungan kawasan PIK sepanjang TAHUN 2025, bukan Juli 2026. Dicantumkan hanya sebagai konteks skala kawasan; JANGAN dipakai sebagai proxy angka Juli 2026. Tidak dipecah wisnus/wisman.
Taman Mini Indonesia Indah (TMII)	TIDAK DITEMUKAN				-	-	-	-	Tidak ditemukan angka pengunjung TMII bulan Juli 2026 (harian maupun bulanan). Yang ada hanya program "Liburan ke Kampung Main" 1-5 Juli 2026 (kerja sama Kemenpar/Wonderful Indonesia) dan pemberitaan kualitatif "ribuan pengunjung" tanpa angka pasti; dikutip Ni Made Ayu Marthini (Deputi Pemasaran Kemenpar), bukan pengelola TMII/InJourney. TMII menargetkan 3,9 juta pengunjung sepanjang 2026 (target tahunan, bukan realisasi Juli).
Taman Marga Satwa Ragunan	10 Juli 2026 (satu hari)	12767			periode parsial	detikTravel	https://travel.detik.com/cerita-perjalanan/d-8569359/libur-sekolah-hampir-usai-ragunan-dipadati-ribuan-wisatawan	2026-07-11	Angka harian: 12.767 pengunjung (3.613 anak-anak + 9.154 dewasa) pada Jumat 10 Juli 2026, menjelang berakhirnya libur sekolah (periode libur sekolah 27 Jun-11 Jul 2026). Dikutip dari Humas Ragunan, Wahyudi Bambang. Bukan angka bulanan Juli.
Taman Marga Satwa Ragunan	TIDAK DITEMUKAN (bulanan penuh Juli 2026)				-	-	-	-	Tidak ditemukan rekap resmi total pengunjung Ragunan untuk bulan Juli 2026 secara keseluruhan (wisnus/wisman terpisah juga tidak ada). Data yang ada berupa angka per-hari/periode pendek (lihat baris lain), atau untuk periode 28 Juni 2026 (HUT Jakarta) yang jatuh SEBELUM Juli.
Kawasan Monumen Nasional (Monas)	TIDAK DITEMUKAN				-	-	-	-	Tidak ditemukan angka pengunjung Monas bulan Juli 2026 (harian maupun bulanan). Berita yang ditemukan hanya untuk periode lain di 2026: Tahun Baru 1 Jan 2026 (72.363 pengunjung, termasuk wisman), libur Idul Adha akhir Mei 2026 (±9.558-10 ribu, 202 wisman), minggu pertama Ramadhan Feb 2026 (2.837 orang). Sumber: UPK Monas via ANTARA/detik. Monas juga sempat tutup kunjungan awal Agustus 2026 untuk acara zikir kebangsaan, dibuka kembali 2 Agustus 2026 — tidak relevan untuk Juli.
Kawasan Kota Tua Jakarta	27 Jun-5 Jul 2026	97700	1963	99663	periode parsial	AyoJakarta.com (kutip data UPK Kota Tua)	https://www.ayojakarta.com/metropolitan/03175550/ada-wahana-rumah-hantu-hingga-photobooth-estetik-kota-tua-jakarta-jadi-primadona-libur-sekolah	2026-07-07	Dikutip dari Denny Aputra, Kepala Unit Pengelola Kawasan (UPK) Kota Tua. Puncak kunjungan sementara Sabtu 4 Juli 2026: 14.773 pengunjung/hari. Denny memproyeksikan "bisa mencapai 200 ribuan sampai minggu ini" (proyeksi, bukan realisasi, tidak dimasukkan ke kolom angka). Periode mencakup akhir Juni-awal Juli, bukan Juli penuh.
