sumber_atau_destinasi	periode_angka	wisnus	wisman	total	satuan_cakupan	sumber_nama	sumber_url	tanggal_terbit	catatan
Taman Impian Jaya Ancol	2025 (tahun kalender, 1 Jan-31 Des)		19080000	kumulatif tahun penuh, wisnus+wisman tidak dipisah di sumber	kabarbursa.com — "Laba Ancol (PJAA) Rp68,40 Miliar di 2025, Trafik Wisatawan Naik"	https://www.kabarbursa.com/market-hari-ini/laba-ancol-pjaa-rp6840-miliar-di-2025-trafik-wisatawan-naik	18 Februari 2026	BUKAN Juli 2026. Angka tahunan 2025 dari laporan keuangan konsolidasian PJAA (naik dari 18,37 juta di 2024). Sumber sekunder (media) yang mengutip laporan keuangan, bukan press release IR langsung.
Taman Impian Jaya Ancol	Target tahun 2026 (1 Jan-31 Des, proyeksi)			9594479	target tahunan (BUKAN realisasi)	Radar Yogya — "PJAA Targetkan 9,5 Juta Pengunjung Tahun 2026"	https://www.radaryogya.com/2026/02/22/pjaa-targetkan-95-juta-pengunjung-tahun-2026/	22 Februari 2026	Ini TARGET, bukan realisasi. Tidak ada breakdown bulanan pada target ini.
Taman Impian Jaya Ancol	Kuartal I 2026 (Jan-Mar 2026, kumulatif)				kuartal, hanya persentase perubahan YoY yang tersedia (turun 14%)	TradingView (mengutip Kontan) — "Pengunjung Ancol (PJAA) Turun 14% di Kuartal I-2026, Manajemen Susun Strategi"	https://id.tradingview.com/news/kontan:0aec5e4f387ea:0/	tidak terverifikasi (artikel di balik paywall, headline saja terbaca)	Hanya persentase penurunan 14% YoY yang tertulis di headline; angka absolut TIDAK ditemukan (isi artikel berbayar). Sesuai aturan, angka absolut TIDAK ditaksir dari persentase — kolom dikosongkan.
Taman Impian Jaya Ancol	Target libur sekolah 20 Jun-12 Jul 2026 (periode parsial lintas 2 bulan)			720000	target periode event 23 hari, lintas Juni-Juli (BUKAN realisasi, BUKAN Juli murni)	Kontan — "Pembangunan Jaya Ancol (PJAA) Bidik 720.000 Pengunjung Saat Libur Sekolah 2026"	https://industri.kontan.co.id/news/pembangunan-jaya-ancol-pjaa-bidik-720000-pengunjung-saat-libur-sekolah-2026	12 Juni 2026	Artikel terbit SEBELUM periode berakhir (12 Juni), jadi ini target, bukan hasil. Realisasi periode ini tidak ditemukan di sumber manapun yang dicoba.
Taman Impian Jaya Ancol	Juli 2026				TIDAK DITEMUKAN — tidak ada publikasi	—	—	—	Tidak ditemukan angka pengunjung bulan Juli 2026 di: idx.co.id (pencarian keterbukaan informasi PJAA tidak menghasilkan dokumen data operasional/pengunjung), korporat.ancol.com/investor-relations, Laporan Triwulan II PJAA (30 Juni 2026, file LK PJAA 30 Juni 2026.pdf di korporat.ancol.com) — laporan ini murni angka keuangan (pendapatan, laba), TIDAK memuat data operasional jumlah pengunjung. Stockbit/IDN Financials/Indopremier soal H1 2026 hanya bahas laba turun 95,25% dan pendapatan, tanpa angka pengunjung.
Pantai Indah Kapuk / Pantjoran PIK	2025 (tahun kalender, kawasan PIK 2 keseluruhan)		27800000	kumulatif tahun penuh, KAWASAN PIK 2 SECARA UMUM (bukan spesifik Pantjoran PIK), domestik+mancanegara digabung	Inilah.com — kutipan langsung Nono Sampono (Dirut Agung Sedayu Group) di pertemuan media kawasan PIK 2	https://www.inilah.com/raih-278-juta-pengunjung-pengelola-pik-2-janji-perbanyak-event-dan-rangkul-umkm	5 Februari 2026	BUKAN Juli 2026, BUKAN spesifik Pantjoran PIK (mencakup seluruh kawasan PIK 2 Tangerang). Tidak ada breakdown bulanan disebutkan.
Pantai Indah Kapuk / Pantjoran PIK	Juli 2026				TIDAK DITEMUKAN — tidak ada publikasi	—	—	—	Tidak ditemukan angka pengunjung bulan Juli 2026 di PIK Tourism Board, Agung Sedayu Group (agungsedayu.com/articles), pikavenue.com, piktourism.com, maupun siaran pers Juli/Agustus 2026. Publikasi pihak PIK bersifat ad hoc (konferensi pers tahunan/kampanye musiman), bukan laporan bulanan rutin.
Ancol	TIDAK DITEMUKAN				TIDAK DITEMUKAN			2026-08-07	Tidak ada rekap resmi angka pengunjung Juli 2026 (bulan penuh/parsial) di medsos resmi (IG/press release korporat.ancol.com) maupun situs ancol.com. Ditemukan hanya event promo gratis tiket 10 Juli 2026 (HUT ke-34 PJAA) tanpa angka realisasi pengunjung. Data pengunjung terverifikasi terakhir yang ada adalah periode libur Lebaran 27-31 Mei 2026 (166.955 orang, ANTARA 1 Jun 2026) — di luar cakupan Juli.
Taman Mini Indonesia Indah (TMII)	TIDAK DITEMUKAN				TIDAK DITEMUKAN			2026-08-07	Akun IG resmi @tmiiofficial (339K followers) aktif memposting event (mis. pertunjukan Tari Kecak 26 Juli 2026) tapi tidak ditemukan post/rekap berisi angka pengunjung Juli 2026. Target tahunan 3,9 juta pengunjung 2026 (idxchannel) bukan realisasi bulanan.
Taman Margasatwa Ragunan	TIDAK DITEMUKAN				TIDAK DITEMUKAN			2026-08-07	Tidak ditemukan angka pengunjung Juli 2026. Angka terverifikasi terdekat: 17.917 wisatawan pada HUT ke-499 Jakarta (22 Juni 2026, ANTARA) — bulan Juni, bukan Juli.
Monas	TIDAK DITEMUKAN				TIDAK DITEMUKAN			2026-08-07	Akun IG resmi @monumen.nasional (139K followers, dikelola Unit Pengelola Kawasan Monas) ditemukan tapi tidak ada post dengan angka pengunjung Juli 2026 yang terindeks. Angka terverifikasi terdekat: 72.363 pengunjung libur Tahun Baru 2026 (1 Jan 2026, ANTARA) — di luar cakupan Juli.
Kota Tua	27 Juni - 5 Juli 2026 (parsial, lintas bulan)	97700	1963	99663	kumulatif 9 hari (bukan Juli penuh)	Kilas Berita / AyoJakarta (mengutip data UPK Kawasan Kota Tua)	https://kilasberita.id/post/kota-tua-jakarta-jadi-primadona-libur-sekolah-wisata-edukasi-dan-hiburan-ramai-dikunjungi	2026-07	Sumber: Unit Pengelola Kawasan (UPK) Kota Tua, dikutip media saat musim libur sekolah & HUT ke-499 Jakarta. Periode 27 Jun-5 Jul mencakup 6 hari Juni + 3 hari Juli — BUKAN angka Juli murni. Puncak harian: Sabtu 4 Juli 2026 = 14.773 pengunjung; Minggu 28 Juni 2026 = 13.984 pengunjung. Halaman artikel asli (ayojakarta.com) memberi 403 saat diakses langsung; angka diverifikasi lewat cuplikan hasil pencarian dari 2 sumber berbeda yang konsisten.
Museum Nasional / Museum & Cagar Budaya (nasional, bukan khusus Jakarta)	Musim libur sekolah Juli 2026 (parsial, tanggal tidak disebut eksplisit)			118510	kumulatif museum di bawah MCB se-Indonesia (bukan Jakarta saja, bukan bulan penuh)	ANTARA News (mengutip Indira Esti Nurjadin, Kepala Museum dan Cagar Budaya/MCB, Kemendikbud)	https://www.antaranews.com/berita/5651312/kunjungan-ke-museum-naik-1315-persen-pada-musim-libur-sekolah	2026-07-15	PERINGATAN: angka 118.510 adalah agregat SELURUH museum di bawah MCB se-Indonesia selama "musim libur sekolah" Juli 2026, BUKAN khusus Museum Nasional Jakarta dan bukan total bulan Juli penuh. Naik 13,15% dari 104.733 (periode sama 2025). Tidak dipakai sebagai angka Museum Nasional Jakarta tanpa klarifikasi lanjut ke MCB/Museum Nasional.
Setu Babakan	TIDAK DITEMUKAN				TIDAK DITEMUKAN			2026-08-07	Hanya ditemukan berita event "Gebyar Seni Budaya Setu Babakan 2026" (Juni 2026, HUT Jakarta ke-499), tanpa angka pengunjung. Tidak ada akun medsos resmi UPK PBB Setu Babakan yang ditemukan aktif memposting rekap angka.
Tebet Eco Park	TIDAK DITEMUKAN				TIDAK DITEMUKAN			2026-08-07	Tidak ditemukan rekap angka pengunjung Juli 2026. Hanya info kapasitas kuota (4.000/hari biasa, 5.000/akhir pekan via app JAKI) — itu kuota, bukan realisasi.
Pos Bloc	TIDAK DITEMUKAN				TIDAK DITEMUKAN			2026-08-07	Tidak ditemukan sama sekali angka pengunjung Pos Bloc Jakarta untuk periode manapun di 2026, apalagi Juli 2026 spesifik.
Planetarium Jakarta (TIM)	TIDAK DITEMUKAN				TIDAK DITEMUKAN			2026-08-07	Berita (Kompas, IDN Times, kumparan) awal Juli 2026 menyebut antrean panjang saat libur sekolah, tapi tidak ada angka realisasi pengunjung — hanya kuota show (200 pengunjung/show: 100 online + 100 OTS), bukan data kumulatif.
Kepulauan Seribu	TIDAK DITEMUKAN				TIDAK DITEMUKAN			2026-08-07	Tidak ditemukan angka wisatawan Juli 2026. Angka terverifikasi terdekat: 13.020 wisatawan libur Waisak 2026 (Mei/Jun, bernas.id) — di luar cakupan Juli. Aktivitas Disparekraf Juli 2026 terkait Kepulauan Seribu hanya Fam Trip promosi wisatawan Tiongkok (29-30 Jun 2026), bukan data kunjungan.
BPS DKI Jakarta - wisatawan nusantara ke DKI Jakarta	April 2026	8740000		8740000	perjalanan wisnus (survei VIK, seluruh DKI Jakarta)	BPS Provinsi DKI Jakarta - Perkembangan Pariwisata Provinsi DKI Jakarta	https://www.antaranews.com/berita/5591116/jumlah-pelancong-ke-jakarta-menurun-pada-april-2026	2026-06-02	Angka 8,74 juta perjalanan (turun 19,97% MoM) dikutip dari BRS BPS DKI Jakarta rilis 2 Juni 2026. Halaman BRS asli jakarta.bps.go.id/pressrelease memblokir fetch otomatis (403); dikonfirmasi via pemberitaan yang mengutip rilis resmi. Pola lag rilis BPS DKI ~2 bulan (data bulan X terbit awal bulan X+2)
BPS DKI Jakarta - wisatawan nusantara ke DKI Jakarta	Mei 2026	8820000		8820000	perjalanan wisnus (survei VIK, seluruh DKI Jakarta)	BPS Provinsi DKI Jakarta - rilis statistik bulanan (dikutip ANTARA)	https://www.antaranews.com/berita/5630701/jakarta-selatan-tetap-jadi-tujuan-wisata-favorit-pelancong	2026-07-01	8,82 juta perjalanan (naik 4,83% MoM, naik 6,97% YoY). Breakdown lokasi: Jakarta Selatan 27,54%, Pusat 21,65%, Timur 18,76%, Barat 16,04%, Utara 15,24%, Kepulauan Seribu 0,77% (persentase saja, tidak dikonversi ke angka absolut karena dilarang menaksir). Ini angka Mei 2026, BUKAN Juli
BPS DKI Jakarta - wisatawan mancanegara ke DKI Jakarta	Semester I 2026 (Jan-Jun)	1040000	1040000		wisman kumulatif semester, DKI Jakarta	BPS DKI Jakarta / Pemprov DKI (Gubernur Pramono Anung)	https://mediaindonesia.com/megapolitan/913501/kunjungan-wisata-jakarta-semester-i-2026-tembus-986-juta-orang			2026-08-XX (awal Agustus 2026, tanggal pasti tidak diverifikasi - artikel di-paywall)	Total kunjungan wisata Jakarta semester I 2026: 9,86 juta orang (8,82 juta wisnus + 1,04 juta wisman). PENTING: kemungkinan ini metodologi berbeda dari BRS BPS "perjalanan wisnus" (dataset dinas/kota, bukan survei VIK BPS) - kebetulan angka wisnus sama dgn Mei 2026 (8,82 juta), perlu verifikasi definisi ulang, jangan disamakan otomatis
BPS RI - wisatawan mancanegara ke Indonesia	Juni 2026	NA	1390000	1390000	nasional, seluruh pintu masuk Indonesia	BPS RI - Berita Resmi Statistik	https://www.antaranews.com/berita/5677399/bps-wisman-per-juni-capai-745-juta-kunjungan-tertinggi-sejak-2020	2026-08-03	1,39 juta kunjungan wisman Juni 2026 (naik 0,32% MoM, turun 2,15% YoY). Kumulatif Jan-Jun 2026: 7,45 juta kunjungan (naik 5,71% YoY, tertinggi sejak 2020). Ini angka NASIONAL bukan DKI Jakarta saja
BPS RI - perjalanan wisatawan nusantara (wisnus)	Juni 2026	107190000		107190000	perjalanan domestik nasional (survei VIK, semua provinsi)	BPS RI - Berita Resmi Statistik	https://www.antaranews.com/berita/5677616/bps-perjalanan-wisnus-naik-097-persen-pada-triwulan-ii-2026	2026-08-03	107,19 juta perjalanan Juni 2026 (naik 0,97% MoM, naik 1,98% YoY). Kumulatif Jan-Jun 2026: 630,41 juta perjalanan (naik 2,71% YoY, tertinggi utk periode sama sejak 2019). Angka nasional, bukan DKI Jakarta saja
BPS RI - okupansi hotel bintang DKI Jakarta (TPK)	Juni 2026	NA	NA	NA	persentase okupansi kamar, bukan jumlah pengunjung	BPS RI - Berita Resmi Statistik TPK Hotel	https://www.antaranews.com/berita/5677940/juni-2026-tingkat-hunian-hotel-bintang-di-jakarta-capai-5547-persen	2026-08-03	TPK hotel bintang Jakarta Juni 2026 = 55,47% (naik 1,62 poin MoM, naik 3,12 poin YoY); hotel nonbintang 40,65% (turun 0,26 poin MoM). Indikator okupansi, bukan angka kunjungan wisatawan - tidak dikonversi ke jumlah pengunjung karena akan jadi taksiran terlarang
Kemenpar RI - statistik wisatawan nusantara (direktori resmi)	belum terverifikasi bulan terbaru	NA	NA	NA	nasional, publikasi bulanan kemenpar.go.id	Kementerian Pariwisata RI - kemenpar.go.id/statistik-wisatawan-nusantara	https://kemenpar.go.id/statistik-wisatawan-nusantara/perkembangan-perjalanan-wisatawan-nusantara			Portal direktori-statistik kemenpar.go.id menampilkan publikasi bulanan terpisah per bulan (terlihat entri Maret, April 2026 di hasil pencarian); tidak berhasil dikonfirmasi bulan terbaru yang live tanpa akses langsung ke portal - perlu verifikasi manual lanjutan
SDI Jakarta - kunjungan wisatawan ke obyek wisata (dataset lama, SUDAH DICEK)	s.d. Mei 2026	NA	NA	NA	dataset satudata.jakarta.go.id per lokasi obyek wisata	Satu Data Jakarta	https://satudata.jakarta.go.id/open-data/detail/data-jumlah-kunjungan-wisatawan-mancanegara-ke-destinasi-wisata-di-provinsi-dki-jakarta-tahun-2021			2026-08-07	BUKTI BUNTU dikonfirmasi ulang: dataset ini yang sudah dicek sebelumnya (baru sampai Mei 2026). Dataset lama data.jakarta.go.id dan statistik.jakarta.go.id KEDUANYA sekarang redirect (302) ke satudata.jakarta.go.id - artinya portal-portal itu sudah dikonsolidasi ke Satu Data Jakarta, bukan sumber independen lagi
Dinas Kebudayaan DKI Jakarta - pengunjung museum	data terlama ditemukan 2010-2016 (dataset lama)	NA	NA	NA	dataset pengunjung museum per jenis museum	Open Data Jakarta / Satu Data Indonesia (data.go.id mirror)	https://data.go.id/dataset/dataset/data-pengunjung-museum-menurut-jenis-museum-di-provinsi-dki-jakarta			2026-08-07	Dataset "Jumlah Pengunjung Museum" yang ditemukan tampak usang (rentang tahun 2010-2016 pada deskripsi hasil pencarian) - tidak ada indikasi update ke 2026. Tidak dipakai sebagai indikator pengganti karena lag-nya jauh lebih parah dari dataset utama
DKI Jakarta (seluruh destinasi)	Semester I 2026 (Januari-Juni, kumulatif)	8.820.000	1.040.000	9.860.000	kumulatif 6 bulan, wisnus (kunjungan/perjalanan) + wisman, se-Provinsi DKI Jakarta	Media Indonesia (mengutip pernyataan Gubernur Pramono Anung di Balai Kota)	https://mediaindonesia.com/megapolitan/913501/kunjungan-wisata-jakarta-semester-i-2026-tembus-986-juta-orang	2026-07-22	TIDAK spesifik Juli 2026 — kumulatif Jan-Jun 2026. CATATAN KRITIS: angka wisnus 8,82 juta & wisman 1,04 juta yang sama juga muncul di artikel lain (medcom.id, most1058fm.com, 23 Juli 2026) tapi dilabeli sebagai data NASIONAL Mei 2026 ("wisatawan nusantara meningkat 6,97% menjadi 8,82 juta perjalanan... wisman naik 8,17% menjadi 1,04 juta") — kemungkinan salah kutip/tercampur antara data Jakarta vs data BPS nasional. Tidak bisa dipastikan mana yang benar; disajikan apa adanya, JANGAN dipakai tanpa verifikasi silang ke rilis resmi Disparekraf/BPS.
