tanggal	total_pengunjung	anak	dewasa
2026-07-01	27893	9263	18630
2026-07-02	26519	8344	18175
2026-07-03	17201	4889	12312
2026-07-04	53070	15095	37975
2026-07-05	103193	29819	73374
2026-07-06	0	0	0
2026-07-07	30626	9387	21239
2026-07-08	26238	8256	17982
2026-07-09	22624	7132	15492
2026-07-10	12767	3613	9154
2026-07-11	35048	9639	25409
2026-07-12	46188	11389	34799
2026-07-13	0	0	0
2026-07-14	5434	963	4471
2026-07-15	3753	499	3254
2026-07-16	3640	478	3162
2026-07-17	3175	461	2714
2026-07-18	19274	3747	15527
2026-07-19	33872	7147	26725
2026-07-20	0	0	0
2026-07-21	3657	497	3160
2026-07-22	3179	358	2821
2026-07-23	2946	324	2622
2026-07-24	2843	355	2488
2026-07-25	19022	3906	15116
2026-07-26	33569	7416	26153
2026-07-27	0	0	0
2026-07-28	3853	499	3354
2026-07-29	3279	372	2907
2026-07-30	3142	406	2736
2026-07-31	3122	397	2725
