Ketersediaan	Framework	Dimensi/Fungsi	Kelompok	Kode	Indikator	Ukuran/Definisi	Pemilik Data (OPD)	Data Dispar	Readiness	Catatan
Data Ada	GCI	Cultural Experience	Cultural	CE1	Wisatawan internasional	Jumlah kedatangan wisatawan mancanegara	DISPAREKRAF	Ya	Ready	Wisman per kebangsaan; kunjungan wisman ke Indonesia (bulan/wilayah); kunjungan ke TIC & obyek wisata
Data Ada	GCI	Cultural Experience	Cultural	CE2	Kuliner beragam	Jumlah & ragam usaha kuliner	DISPAREKRAF	Ya	Ready	Restoran & Kafe GCI (Atlas 2.577); Usaha Jasa Makan-Minum; Restoran per Kelurahan; Food Court
Data Ada	GCI	Cultural Experience	Cultural	CE3	Seni visual & pertunjukan	Jumlah venue/penyelenggaraan seni	DISPAREKRAF	Ya	Ready	Data Seni Pertunjukan & Visual; Penyelenggaraan Event; Rekomendasi Pertunjukan Musik; Atlas Pertunjukan
Data Ada	GCI	Cultural Experience	Cultural	CE4	Museum	Jumlah museum	Dinas Kebudayaan	Sebagian	Partial	Proksi via Obyek Wisata; butuh inventori museum resmi
Data Ada	GCI	Business Activity	MICE	BA-MICE	Konferensi internasional (ICCA)	Jumlah konferensi/pertemuan internasional	DISPAREKRAF	Sebagian	Partial	Punya Usaha MICE berizin; jumlah konferensi internasional aktual perlu ditambah
Data Ada	GPCI	Cultural Interaction	Volume of Interaction	CI-FV	Jumlah wisatawan asing (Foreign Visitors)	Jumlah pengunjung asing	DISPAREKRAF	Ya	Ready	Wisman per kebangsaan; TIC (termasuk TIC Bandara Soetta)
Data Ada	GPCI	Cultural Interaction	Volume of Interaction	CI-IC	Jumlah konferensi internasional	Int'l conferences (MICE)	DISPAREKRAF	Sebagian	Partial	Usaha MICE berizin; jumlah konferensi aktual perlu ditambah
Data Ada	GPCI	Cultural Interaction	Trendsetting	CI-CE	Jumlah event budaya (Cultural Events)	Jumlah event budaya besar	DISPAREKRAF	Ya	Ready	Penyelenggaraan Event Pariwisata & Budaya; Seni Pertunjukan; Pengunjung Event
Data Ada	GPCI	Cultural Interaction	Trendsetting	CI-CX	Nilai ekspor konten budaya (Cultural Content Export)	Ekspor produk kreatif/budaya	DISPAREKRAF (Ekraf)	Sebagian	Partial	Proksi via Usaha Ekonomi Kreatif & Produk Ekraf ber-HKI; nilai ekspor perlu ditambah
Data Ada	GPCI	Cultural Interaction	Trendsetting	CI-AM	Lingkungan pasar seni (Art Market)	Aktivitas pasar seni/galeri	DISPAREKRAF (Ekraf) / Disbud	Sebagian	Partial	Proksi via Seni Visual & Ekraf; data lelang/galeri perlu ditambah
Data Ada	GPCI	Cultural Interaction	Cultural Resources	CI-TA	Daya tarik wisata (Tourist Attractions)	Jumlah & kualitas atraksi wisata	DISPAREKRAF	Ya	Ready	Obyek Wisata (unggulan) per lokasi; Desa Wisata; Nilai Kepuasan Pengunjung
