ta_id	nama	kategori_ta	rating	ulasan
2706539	Lucy in the Sky	Clubs & Bars	3.2	68
6159132	Galaxi KTV Club	Clubs & Bars		
7256883	Top Gun	Clubs & Bars	3.6	18
7312840	Puspita Dangdut Cafe	Clubs & Bars	4.3	3
7812626	Cutie Cats Cafe	Nightlife	3.5	35
7980723	Lokasari Square	Clubs & Bars	3.5	14
10596133	X2	Clubs & Bars	4.6	10
10795022	999 Triple Nine	Clubs & Bars	3.5	2
11910832	Ares Bar & Lounge	Clubs & Bars	5.0	12
12049469	Golden Hands Spa	Clubs & Bars	5.0	1
12082345	MO Bar	Clubs & Bars	4.6	29
12216005	My Bar	Clubs & Bars	2.6	5
12640010	Happy Puppy Karaoke	Karaoke Bars	2.0	7
12721281	Bartega	Wine Bars	4.9	41
12962505	meZZa Lounge & Bar	Clubs & Bars	4.5	8
13172722	Pool Bar DoubleTree	Clubs & Bars		
13172723	T Lounge	Clubs & Bars		
13412708	King's Melody Lounge	Clubs & Bars		
14097676	Inul Vizta Plaza Semanggi	Karaoke Bars		
15029010	The Back Room	Clubs & Bars	5.0	2
15839393	Cilukba	Nightlife		
17579254	Jakarta NightLife Host	Nightlife	5.0	2
17802476	Find Your Indonesia (FIYO)	Nightlife		
19921351	Romero Sinaga	Nightlife		
20274116	Ketawa Comedy Club	Comedy Clubs		
20995199	Opatrip.com US LLC – Local Tours in Indonesia	Nightlife		
23280548	20/20 Cocktails and Agaves	Clubs & Bars		
23332050	Palembang	Clubs & Bars		
23847858	Nu Skin Indonesia	Clubs & Bars		
23932747	Z Squared	Clubs & Bars		
24190339	Bura Bura Jakarta	Clubs & Bars		
25194330	Escape KTV & Bar	Karaoke Bars		
25266195	Colosseum Club	Dance Clubs & Discos	1.3	3
25267761	Dragonfly Club	Dance Clubs & Discos	3	1
25297086	Dayana Est. 1997 - A Cigar Store	Cigar Bars	5	1
25444430	W Superclub	Clubs & Bars		
26101135	Fujiwin88	Clubs & Bars		
26258989	Bar Fat & Sim	Clubs & Bars	5	2
26322140	Fujigacor88	Clubs & Bars		
26609576	Triple A Tours & Travel	Nightlife		
26616033	Ra Suites Simatupang Bar	Clubs & Bars	5	1
26686214	Andri	Nightlife		
26706375	Arzuca Night	Clubs & Bars		
26773340	Letterpress Bar	Clubs & Bars	5	1
26821677	Jakarta Locals Guide	Nightlife		
27138489	Rabbithide	Karaoke Bars		
27168614	Triple Nine 999	Karaoke Bars		
27954705	Blaze Scbd	Clubs & Bars	4	3
27966646	Ebony88	Nightlife		
28049755	silver tour jakarta	Nightlife		
28123847	Aloha Pik2 (strand) Banteng	Clubs & Bars		
28650788	Traveluv	Nightlife		
31936914	Zoo SCBD	Dance Clubs & Discos	4.5	2
32237701	Zero Inn	Clubs & Bars		
32842716	Hw Superhouse Satrio	Clubs & Bars	4	2
32846804	Koda	Clubs & Bars	4	2
32846875	Kode Jakarta	Clubs & Bars	3.5	2
32847007	Brexit Bar & Club	Clubs & Bars	2	1
32847439	Barna Karaoke Jakarta Selatan	Karaoke Bars	5	1
32963493	House Of Pats	Clubs & Bars	2	1
33114577	Zodiac Club	Dance Clubs & Discos	4	1
33302916	Slot Deposit Qris 10k Gonbet	Clubs & Bars		
33665593	Sparta live bar	Clubs & Bars	3	1
33677755	KTV 999 Blok M	Karaoke Bars		
33964051	Mad For Laughs	Comedy Clubs		
34025484	Pulque Agave Social House	Nightlife	5	8
34133580	Panorama Sightseeing	Nightlife		
34191647	GRITNIC - SNUS & Nicotine Pouches	Cigar Bars		
34273168	Myrtle Beach	Clubs & Bars		
34277654	Little Tokyo Blok M	Clubs & Bars		
34277879	Camden Sunter	Clubs & Bars		
34278105	Batavia Beerhouse	Wine Bars		
34295896	Vault Jakarta	Dance Clubs & Discos	4	1
34329562	Fortune Spa & Lounge Grand Wijaya	Karaoke Bars		
34463353	Fyne Jakarta	Clubs & Bars	3	1
34568622	LOTTE MART Wholesale Kelapa Gading	Nightlife		
