ta_id	nama	kategori_ta	alamat_ta	lat	lng	telepon	rating	ulasan
379331	Batik Keris	Gift & Specialty Shops	Jakarta	-6.131296	106.65615		4.2	64
3264840	Pasaraya, the Pride of Indonesia	Gift & Specialty Shops	Blok M Jln. Iskandarsyah II 2 Kebayoran Baru, Jakarta, 12160	-6.241865	106.800766	+62 622 18312674	3.9	74
3844811	Pasar Ular	Gift & Specialty Shops	Jln. Plumpang B, Jakarta, 14230	-6.12357	106.90005		3.6	10
3845753	Pasar Asemka	Gift & Specialty Shops	Jl. Raya Pantura, Jakarta, 11110	-6.138857	106.81249		3.9	43
4424695	Galeries Lafayette	Gift & Specialty Shops	Pacific Place Mall, SCBD Jl. Jend. Sudirman, Jakarta	-6.22798	106.80896	+62 21 57973343	4.2	10
5966692	Arafah Collection	Gift & Specialty Shops	Thamrin City Block C35 Nomor 18-21  Jln. Jakarta, Jakarta, 10730	-6.15648	106.75741	+62 21 31990936	4.0	1
6536286	Gembrong Market	Gift & Specialty Shops	Jakarta, 13320				3.3	6
6579516	Pusat Promosi Ikan Hias Sumenep	Gift & Specialty Shops	Jln. Sumenep, Jakarta, 10310	-6.19974	106.82537		3.6	5
6598978	Rawa Bening Market	Gift & Specialty Shops	Jln. Stasiun, Jakarta, 12240	-6.23689	106.78237	+62 21 8197064	3.6	11
6598992	Rawa Belong Flower Market	Gift & Specialty Shops	Jalan Sulaiman Raya No.50, Jakarta, 11540	-6.205949	106.77842		3.8	12
6725477	Cikini Gold Center	Gift & Specialty Shops	Jln. Pegangsaan Barat/Timur, Jakarta, 10320	-6.198286	106.84164	+62 131 9090 88	4.0	322
7076588	Khas Jakarta	Gift & Specialty Shops	Jl. Thamrin Boulevard blok H5 no. 6 Thamrin City Lantai 1, Jakarta, 11110	-6.194593	106.81542	+62 856-8593-383	3.6	5
8403837	Electronic City	Gift & Specialty Shops	Jl. Jenderal Sudirman Kav. 52-53 Sudirman Central Business District, Jakarta, 12190	-6.34018	106.85178	+62 21 1500032	3.1	8
9563968	Pasar Seni Ancol	Gift & Specialty Shops	Jl. Gerbang Ancol no. 93, Pademangan, Jakarta, 14430	-6.126677	106.83876	+62 21 64713218	3.4	35
9727715	Nonna Store PIK	Gift & Specialty Shops	Outer Ring Road Pantai Indah Kapuk, Food Plaza building Block A No 35-37, Jakarta, 14470	-6.103562	106.74109	+62 857-1549-0196	5.0	1
10161748	Paisley Things	Gift & Specialty Shops	Jln. Bumi no. 31a, Jakarta, 12120	-6.24063	106.78974	+62 21 27510156	4.3	3
11864940	Cocona Care	Gift & Specialty Shops	Jl RS Fatmawati no. 39, Jakarta, 12430	-6.28647	106.79553	+62 21 75906515	4.5	2
12017934	Dayana TOBACCO	Gift & Specialty Shops	Jl. Iskandarsyah Raya no. 65 Hotel Grandhika Iskandarsyah - M Level, Jakarta, 12160	-6.244306	106.80375	+62 21 73910443	5.0	4
12778506	Batik KoenoKoeni	Gift & Specialty Shops	Jl. Cipete Raya no. 8A, Jakarta, 12410	-6.27773	106.80483	+62 21 22705821		
12918278	Toko Board Game	Gift & Specialty Shops	Jl. Kerajinan I no. 35, Jakarta, 11130	-6.152825	106.81452	+62 878-8732-8782		
12976615	Batik Obate	Gift & Specialty Shops	Jl. Teuku Nyak Arief no. 10 Simprug Gallery Unit Blok S, Jakarta, 12220	-6.23496	106.78532	+62 811-9303-789	5.0	3
